,base3_run_id,pitcher_number,rbi_ct,denom,failure_rate
0,no,1,41043,795093,0.051620376
1,no,2,7628,145685,0.052359543
2,no,3,5698,114255,0.049870903
3,no,4,3739,77336,0.048347471
4,no,5,1963,39772,0.049356331
5,no,6,813,16296,0.049889543
6,no,7,322,5989,0.053765236
7,no,8,121,2084,0.05806142
8,no,9,30,610,0.049180328
9,no,10,13,128,0.1015625
10,no,11,2,40,0.05
11,no,12,1,8,0.125
12,no,13,0,4,0
13,yes,1,28625,80793,0.354300496
14,yes,2,6982,21109,0.330759392
15,yes,3,4960,15404,0.321994287
16,yes,4,3517,11193,0.314214241
17,yes,5,1847,5815,0.317626827
18,yes,6,775,2648,0.292673716
19,yes,7,285,943,0.302226935
20,yes,8,118,372,0.317204301
21,yes,9,42,122,0.344262295
22,yes,10,8,23,0.347826087
23,yes,11,2,8,0.25
24,yes,13,0,1,0
