,day_of_week,pitcher_number,rbi_ct,denom,failure_rate
0,Friday,1,10955,136917,0.080011978
1,Friday,2,2265,25995,0.087132141
2,Friday,3,1698,20437,0.083084601
3,Friday,4,1079,13887,0.077698567
4,Friday,5,626,7158,0.087454596
5,Friday,6,251,2909,0.086283946
6,Friday,7,82,963,0.085150571
7,Friday,8,32,304,0.105263158
8,Friday,9,13,89,0.146067416
9,Friday,10,1,16,0.0625
10,Friday,11,1,10,0.1
11,Friday,12,0,3,0
12,Friday,13,0,5,0
13,Monday,1,7301,91560,0.079740061
14,Monday,2,1518,17566,0.086416942
15,Monday,3,1141,13425,0.084990689
16,Monday,4,738,9268,0.07962883
17,Monday,5,389,4896,0.079452614
18,Monday,6,185,2171,0.085214187
19,Monday,7,45,693,0.064935065
20,Monday,8,18,212,0.08490566
21,Monday,9,6,49,0.12244898
22,Monday,10,4,10,0.4
23,Monday,11,1,14,0.071428571
24,Saturday,1,11251,143546,0.078379056
25,Saturday,2,2394,26902,0.088989666
26,Saturday,3,1770,21162,0.083640488
27,Saturday,4,1173,14420,0.081345354
28,Saturday,5,604,7265,0.083138334
29,Saturday,6,247,3022,0.081733951
30,Saturday,7,102,1167,0.087403599
31,Saturday,8,43,435,0.098850575
32,Saturday,9,12,148,0.081081081
33,Saturday,10,7,36,0.194444444
34,Saturday,11,1,4,0.25
35,Sunday,1,11076,140571,0.078792923
36,Sunday,2,2304,26991,0.085361787
37,Sunday,3,1674,21084,0.079396699
38,Sunday,4,1225,14496,0.084506071
39,Sunday,5,635,7291,0.087093677
40,Sunday,6,242,2971,0.081454056
41,Sunday,7,112,1069,0.104770814
42,Sunday,8,42,345,0.12173913
43,Sunday,9,8,55,0.145454545
44,Thursday,1,7765,97550,0.079600205
45,Thursday,2,1709,18675,0.091512718
46,Thursday,3,1156,14409,0.080227636
47,Thursday,4,846,9834,0.086028066
48,Thursday,5,429,5041,0.085102162
49,Thursday,6,161,2021,0.079663533
50,Thursday,7,80,797,0.100376412
51,Thursday,8,26,279,0.093189964
52,Thursday,9,8,116,0.068965517
53,Thursday,10,1,28,0.035714286
54,Thursday,11,0,4,0
55,Tuesday,1,10383,129760,0.080016954
56,Tuesday,2,2161,24721,0.087415558
57,Tuesday,3,1578,19252,0.08196551
58,Tuesday,4,1064,12831,0.082924168
59,Tuesday,5,524,6429,0.081505677
60,Tuesday,6,229,2644,0.086611195
61,Tuesday,7,76,948,0.080168776
62,Tuesday,8,34,394,0.086294416
63,Tuesday,9,12,158,0.075949367
64,Tuesday,10,7,46,0.152173913
65,Tuesday,11,1,11,0.090909091
66,Wednesday,1,10937,135982,0.080429763
67,Wednesday,2,2259,25944,0.087072155
68,Wednesday,3,1641,19890,0.082503771
69,Wednesday,4,1131,13793,0.081998115
70,Wednesday,5,603,7507,0.08032503
71,Wednesday,6,273,3206,0.085152838
72,Wednesday,7,110,1295,0.084942085
73,Wednesday,8,44,487,0.090349076
74,Wednesday,9,13,117,0.111111111
75,Wednesday,10,1,15,0.066666667
76,Wednesday,11,0,5,0
77,Wednesday,12,1,5,0.2
