,inn_ct,pitcher_number,rbi_ct,denom,failure_rate
0,1,1,13402,151612,0.088396697
1,1,2,56,272,0.205882353
2,2,1,11052,144291,0.076595214
3,2,2,218,1428,0.152661064
4,2,3,5,34,0.147058824
5,3,1,11682,144276,0.080969808
6,3,2,505,3922,0.128760836
7,3,3,32,268,0.119402985
8,3,4,1,10,0.1
9,4,1,11621,139301,0.083423665
10,4,2,1042,8720,0.119495413
11,4,3,110,1013,0.108588351
12,4,4,10,98,0.102040816
13,4,5,0,2,0
14,5,1,10101,128034,0.078893107
15,5,2,1990,17243,0.115409152
16,5,3,403,3601,0.111913357
17,5,4,92,542,0.169741697
18,5,5,10,74,0.135135135
19,5,6,0,6,0
20,6,1,7686,99102,0.077556457
21,6,2,3490,36111,0.096646451
22,6,3,1337,11996,0.111453818
23,6,4,295,2493,0.118331328
24,6,5,44,429,0.102564103
25,6,6,13,81,0.160493827
26,6,7,1,9,0.111111111
27,7,1,3221,51115,0.063014771
28,7,2,4040,51205,0.078898545
29,7,3,3064,32746,0.09356868
30,7,4,1175,11328,0.103725282
31,7,5,327,2595,0.126011561
32,7,6,43,465,0.092473118
33,7,7,16,110,0.145454545
34,7,8,0,7,0
35,8,1,716,14667,0.048817072
36,8,2,2514,36791,0.068331929
37,8,3,3570,48153,0.074138683
38,8,4,2845,33237,0.085597376
39,8,5,1132,11886,0.095238095
40,8,6,282,2914,0.096774194
41,8,7,70,589,0.118845501
42,8,8,13,114,0.114035088
43,8,9,6,21,0.285714286
44,9,1,187,3484,0.053673938
45,9,2,743,10824,0.068643755
46,9,3,2037,30142,0.067580121
47,9,4,2534,36161,0.070075496
48,9,5,1773,23003,0.077076903
49,9,6,697,8167,0.085343455
50,9,7,142,1711,0.082992402
51,9,8,36,335,0.107462687
52,9,9,11,72,0.152777778
53,9,10,3,8,0.375
54,9,11,1,6,0.166666667
55,10,1,0,4,0
56,10,2,10,255,0.039215686
57,10,3,82,1405,0.058362989
58,10,4,221,3286,0.067255021
59,10,5,291,4164,0.069884726
60,10,6,197,2526,0.077988915
61,10,7,96,973,0.098663926
62,10,8,22,198,0.111111111
63,10,9,4,46,0.086956522
64,10,10,0,3,0
65,10,11,0,4,0
66,11,2,2,23,0.086956522
67,11,3,14,258,0.054263566
68,11,4,64,1028,0.062256809
69,11,5,161,2134,0.075445173
70,11,6,182,2361,0.077085981
71,11,7,83,1001,0.082917083
72,11,8,25,290,0.086206897
73,11,9,10,98,0.102040816
74,11,10,3,14,0.214285714
75,11,11,0,11,0
76,12,3,4,43,0.093023256
77,12,4,11,265,0.041509434
78,12,5,47,796,0.059045226
79,12,6,88,1349,0.065233506
80,12,7,84,1022,0.082191781
81,12,8,42,412,0.101941748
82,12,9,7,66,0.106060606
83,12,10,4,32,0.125
84,12,11,1,2,0.5
85,12,12,1,5,0.2
86,13,4,5,58,0.086206897
87,13,5,17,332,0.051204819
88,13,6,48,649,0.073959938
89,13,7,57,711,0.080168776
90,13,8,41,405,0.101234568
91,13,9,9,94,0.095744681
92,13,10,1,20,0.05
93,13,11,0,6,0
94,14,4,2,13,0.153846154
95,14,5,5,101,0.04950495
96,14,6,28,283,0.098939929
97,14,7,40,450,0.088888889
98,14,8,30,282,0.106382979
99,14,9,12,107,0.112149533
100,14,10,1,19,0.052631579
101,14,11,0,4,0
102,15,4,0,4,0
103,15,5,2,43,0.046511628
104,15,6,8,105,0.076190476
105,15,7,7,159,0.044025157
106,15,8,7,129,0.054263566
107,15,9,5,71,0.070422535
108,15,10,1,14,0.071428571
109,15,12,0,3,0
110,16,4,1,6,0.166666667
111,16,5,0,13,0
112,16,6,1,30,0.033333333
113,16,7,4,101,0.03960396
114,16,8,9,104,0.086538462
115,16,9,5,59,0.084745763
116,16,10,1,9,0.111111111
117,16,11,1,5,0.2
118,16,13,0,5,0
119,17,5,0,10,0
120,17,6,1,6,0.166666667
121,17,7,4,50,0.08
122,17,8,1,67,0.014925373
123,17,9,1,43,0.023255814
124,17,10,0,4,0
125,17,11,0,3,0
126,18,5,1,5,0.2
127,18,6,0,2,0
128,18,7,1,33,0.03030303
129,18,8,6,58,0.103448276
130,18,9,1,36,0.027777778
131,18,10,4,12,0.333333333
132,18,11,1,7,0.142857143
133,19,7,2,13,0.153846154
134,19,8,6,47,0.127659574
135,19,9,1,14,0.071428571
136,19,10,2,11,0.181818182
137,20,8,1,8,0.125
138,20,9,0,5,0
139,20,10,1,5,0.2
