,match_ups_counts,pitcher_number,rbi_ct,denom,failure_rate
0,1,1,14960,221413,0.067566042
1,1,2,8698,104096,0.083557485
2,1,3,6645,83351,0.079723099
3,1,4,4423,56592,0.078155923
4,1,5,2324,28588,0.08129285
5,1,6,934,11712,0.079747268
6,1,7,335,4069,0.082329811
7,1,8,134,1435,0.093379791
8,1,9,44,433,0.101616628
9,1,10,12,97,0.12371134
10,1,11,2,23,0.086956522
11,1,12,1,6,0.166666667
12,1,13,0,4,0
13,2,1,17256,211710,0.081507723
14,2,2,3582,38077,0.094072537
15,2,3,2523,28354,0.088982154
16,2,4,1736,19750,0.087898734
17,2,5,905,10312,0.087761831
18,2,6,396,4436,0.089269612
19,2,7,167,1658,0.100723764
20,2,8,58,552,0.105072464
21,2,9,18,164,0.109756098
22,2,10,5,27,0.185185185
23,2,11,0,8,0
24,2,13,0,1,0
25,3,1,14404,167832,0.085823919
26,3,2,1267,13622,0.093011305
27,3,3,878,10408,0.084358186
28,3,4,647,7126,0.090794274
29,3,5,330,3901,0.084593694
30,3,6,139,1584,0.087752525
31,3,7,61,668,0.091317365
32,3,8,23,227,0.101321586
33,3,9,3,41,0.073170732
34,3,10,3,15,0.2
35,3,11,1,8,0.125
36,3,12,0,1,0
37,4,1,6550,79554,0.082334012
38,4,2,580,6159,0.094171132
39,4,3,358,4361,0.082091263
40,4,4,281,3035,0.092586491
41,4,5,149,1657,0.089921545
42,4,6,61,676,0.090236686
43,4,7,22,294,0.074829932
44,4,8,12,131,0.091603053
45,4,9,4,40,0.1
46,4,10,1,9,0.111111111
47,4,11,0,1,0
48,5,1,4861,58557,0.083013133
49,5,2,259,2644,0.09795764
50,5,3,145,1806,0.080287929
51,5,4,100,1204,0.083056478
52,5,5,61,690,0.088405797
53,5,6,40,323,0.123839009
54,5,7,13,142,0.091549296
55,5,8,4,56,0.071428571
56,5,9,1,25,0.04
57,5,10,0,2,0
58,6,1,4041,46671,0.086584817
59,6,2,115,1127,0.102040816
60,6,3,63,770,0.081818182
61,6,4,42,492,0.085365854
62,6,5,23,261,0.088122605
63,6,6,12,124,0.096774194
64,6,7,6,46,0.130434783
65,6,8,5,23,0.217391304
66,6,9,1,16,0.0625
67,6,10,0,1,0
68,6,12,0,1,0
69,7,1,2214,26808,0.082587287
70,7,2,62,568,0.10915493
71,7,3,26,331,0.078549849
72,7,4,15,207,0.072463768
73,7,5,11,108,0.101851852
74,7,6,3,55,0.054545455
75,7,7,1,22,0.045454545
76,7,8,2,16,0.125
77,7,9,0,8,0
78,7,11,1,1,1
79,8,1,1518,18328,0.082824094
80,8,2,20,249,0.080321285
81,8,3,12,151,0.079470199
82,8,4,9,77,0.116883117
83,8,5,4,49,0.081632653
84,8,6,2,18,0.111111111
85,8,7,0,7,0
86,8,8,0,8,0
87,8,9,1,4,0.25
88,9,1,1186,13851,0.085625587
89,9,2,9,128,0.0703125
90,9,3,3,69,0.043478261
91,9,4,0,23,0
92,9,5,2,13,0.153846154
93,9,6,0,6,0
94,9,7,1,11,0.090909091
95,9,8,1,2,0.5
96,9,9,0,1,0
97,10,1,808,9366,0.086269485
98,10,2,11,67,0.164179104
99,10,3,4,33,0.121212121
100,10,4,1,16,0.0625
101,10,5,1,7,0.142857143
102,10,6,0,2,0
103,10,7,0,5,0
104,10,8,0,1,0
105,11,1,586,6895,0.084989123
106,11,2,3,32,0.09375
107,11,3,1,15,0.066666667
108,11,4,0,1,0
109,11,5,0,1,0
110,11,6,0,4,0
111,11,7,1,7,0.142857143
112,11,8,0,1,0
113,11,11,0,1,0
114,12,1,439,5178,0.084781769
115,12,2,2,15,0.133333333
116,12,3,0,6,0
117,12,4,1,2,0.5
118,12,6,0,2,0
119,12,7,0,3,0
120,12,8,0,1,0
121,13,1,313,3471,0.090175742
122,13,2,1,6,0.166666667
123,13,3,0,2,0
124,13,4,0,1,0
125,13,6,1,2,0.5
126,13,11,0,2,0
127,14,1,187,2348,0.079642249
128,14,2,1,2,0.5
129,14,3,0,2,0
130,14,4,0,1,0
131,14,11,0,3,0
132,15,1,151,1593,0.094789705
133,15,2,0,1,0
134,15,11,0,1,0
135,16,1,91,987,0.092198582
136,16,2,0,1,0
137,16,4,1,2,0.5
138,16,8,0,1,0
139,17,1,44,582,0.075601375
140,17,8,0,1,0
141,18,1,23,350,0.065714286
142,19,1,22,201,0.109452736
143,19,8,0,1,0
144,20,1,8,99,0.080808081
145,21,1,1,52,0.019230769
146,22,1,2,25,0.08
147,23,1,2,11,0.181818182
148,24,1,1,4,0.25
