,month,pitcher_number,rbi_ct,denom,failure_rate
0,Apr,1,10325,130019,0.079411471
1,Apr,2,2190,25803,0.084873852
2,Apr,3,1660,20027,0.082888101
3,Apr,4,1161,13515,0.08590455
4,Apr,5,567,6699,0.084639498
5,Apr,6,200,2457,0.081400081
6,Apr,7,54,778,0.06940874
7,Apr,8,26,275,0.094545455
8,Apr,9,7,63,0.111111111
9,Apr,10,2,12,0.166666667
10,Aug,1,12404,153152,0.080991433
11,Aug,2,2570,29167,0.088113279
12,Aug,3,1850,22677,0.081580456
13,Aug,4,1271,15217,0.083525005
14,Aug,5,651,7393,0.088056269
15,Aug,6,288,2953,0.097527938
16,Aug,7,87,993,0.087613293
17,Aug,8,30,429,0.06993007
18,Aug,9,7,69,0.101449275
19,Aug,10,3,8,0.375
20,Aug,11,1,3,0.333333333
21,Jul,1,11071,140167,0.078984354
22,Jul,2,2313,26225,0.088198284
23,Jul,3,1651,20373,0.08103863
24,Jul,4,1080,13448,0.08030934
25,Jul,5,586,6883,0.085137295
26,Jul,6,207,2717,0.076186971
27,Jul,7,77,922,0.0835141
28,Jul,8,20,269,0.074349442
29,Jul,9,8,122,0.06557377
30,Jul,10,1,12,0.083333333
31,Jun,1,11831,148067,0.079903017
32,Jun,2,2516,28168,0.089321216
33,Jun,3,1735,21281,0.081528124
34,Jun,4,1150,14027,0.081984744
35,Jun,5,557,6879,0.080971071
36,Jun,6,227,2608,0.087039877
37,Jun,7,101,955,0.105759162
38,Jun,8,30,283,0.106007067
39,Jun,9,7,49,0.142857143
40,Jun,10,1,6,0.166666667
41,Mar,1,79,1288,0.061335404
42,Mar,2,24,220,0.109090909
43,Mar,3,13,170,0.076470588
44,Mar,4,14,145,0.096551724
45,Mar,5,7,86,0.081395349
46,Mar,6,4,34,0.117647059
47,Mar,7,1,4,0.25
48,Mar,8,1,2,0.5
49,May,1,12359,154707,0.079886495
50,May,2,2589,29301,0.088358759
51,May,3,1889,22397,0.084341653
52,May,4,1245,15160,0.082124011
53,May,5,592,7181,0.082439772
54,May,6,219,2787,0.078579117
55,May,7,75,954,0.078616352
56,May,8,33,291,0.113402062
57,May,9,4,101,0.03960396
58,May,10,1,12,0.083333333
59,Oct,1,582,8412,0.069186876
60,Oct,2,115,1595,0.072100313
61,Oct,3,101,1403,0.071988596
62,Oct,4,76,1014,0.07495069
63,Oct,5,47,654,0.071865443
64,Oct,6,32,414,0.077294686
65,Oct,7,14,215,0.065116279
66,Oct,8,8,64,0.125
67,Oct,9,3,15,0.2
68,Oct,10,1,3,0.333333333
69,Oct,11,1,4,0.25
70,Sep,1,11017,140074,0.078651284
71,Sep,2,2293,26315,0.087136614
72,Sep,3,1759,21331,0.082462144
73,Sep,4,1259,16003,0.078672749
74,Sep,5,803,9812,0.081838565
75,Sep,6,411,4974,0.082629674
76,Sep,7,198,2111,0.09379441
77,Sep,8,91,843,0.107947805
78,Sep,9,36,313,0.115015974
79,Sep,10,12,98,0.12244898
80,Sep,11,2,41,0.048780488
81,Sep,12,1,8,0.125
82,Sep,13,0,5,0
