,score_fielding,pitcher_number,rbi_ct,denom,failure_rate
0,0,1,31446,418113,0.075209333
1,0,2,2022,22973,0.088016367
2,0,3,991,12166,0.081456518
3,0,4,460,5829,0.078915766
4,0,5,150,1916,0.0782881
5,0,6,46,548,0.083941606
6,0,7,17,180,0.094444444
7,0,8,4,62,0.064516129
8,0,9,5,24,0.208333333
9,0,10,1,7,0.142857143
10,1,1,14157,170497,0.083033719
11,1,2,2183,26441,0.082561174
12,1,3,1437,17856,0.080477151
13,1,4,791,9970,0.079338014
14,1,5,324,4204,0.077069458
15,1,6,134,1638,0.081807082
16,1,7,54,528,0.102272727
17,1,8,19,204,0.093137255
18,1,9,5,67,0.074626866
19,1,10,4,18,0.222222222
20,2,1,9814,117941,0.083211097
21,2,2,2304,27294,0.084414157
22,2,3,1697,20999,0.080813372
23,2,4,1151,13852,0.083092694
24,2,5,515,6435,0.08003108
25,2,6,191,2428,0.078665568
26,2,7,61,758,0.080474934
27,2,8,23,223,0.103139013
28,2,9,8,84,0.095238095
29,2,10,1,5,0.2
30,3,1,6164,72229,0.085339684
31,3,2,1996,23147,0.086231477
32,3,3,1510,18836,0.08016564
33,3,4,1032,13227,0.078022227
34,3,5,558,7267,0.076785469
35,3,6,271,3250,0.083384615
36,3,7,96,1173,0.081841432
37,3,8,44,434,0.101382488
38,3,9,16,90,0.177777778
39,3,10,2,15,0.133333333
40,3,11,1,4,0.25
41,4,1,3801,44845,0.084758613
42,4,2,1782,20095,0.088678776
43,4,3,1306,16542,0.07895055
44,4,4,977,12204,0.080055719
45,4,5,561,6830,0.082137628
46,4,6,235,2997,0.078411745
47,4,7,106,1174,0.090289608
48,4,8,39,396,0.098484848
49,4,9,12,120,0.1
50,4,10,4,36,0.111111111
51,4,11,1,16,0.0625
52,4,12,0,3,0
53,4,13,0,5,0
54,5,1,2051,24113,0.085057853
55,5,2,1429,15532,0.092003605
56,5,3,1046,12976,0.080610358
57,5,4,760,9640,0.078838174
58,5,5,434,5389,0.080534422
59,5,6,211,2290,0.092139738
60,5,7,69,875,0.078857143
61,5,8,31,355,0.087323944
62,5,9,3,49,0.06122449
63,5,10,0,27,0
64,5,11,0,6,0
65,6,1,1011,12748,0.079306558
66,6,2,1042,11209,0.092961013
67,6,3,813,9630,0.084423676
68,6,4,585,7598,0.076993946
69,6,5,396,4269,0.092761771
70,6,6,148,1722,0.085946574
71,6,7,63,682,0.092375367
72,6,8,20,215,0.093023256
73,6,9,11,120,0.091666667
74,6,10,5,25,0.2
75,6,11,0,6,0
76,6,12,1,5,0.2
77,7,1,558,7135,0.078206027
78,7,2,743,8036,0.092458935
79,7,3,616,7115,0.086577653
80,7,4,481,5452,0.088224505
81,7,5,284,3264,0.087009804
82,7,6,123,1385,0.088808664
83,7,7,45,535,0.08411215
84,7,8,22,228,0.096491228
85,7,9,5,64,0.078125
86,7,10,3,12,0.25
87,7,11,2,16,0.125
88,8,1,322,3924,0.082059123
89,8,2,472,5256,0.089802131
90,8,3,451,4873,0.09255079
91,8,4,346,3752,0.092217484
92,8,5,192,2109,0.091038407
93,8,6,79,907,0.087100331
94,8,7,32,388,0.082474227
95,8,8,9,126,0.071428571
96,8,9,3,56,0.053571429
97,8,10,1,6,0.166666667
98,9,1,162,2052,0.078947368
99,9,2,290,2839,0.102148644
100,9,3,308,3310,0.09305136
101,9,4,236,2428,0.097199341
102,9,5,129,1419,0.090909091
103,9,6,60,701,0.085592011
104,9,7,27,246,0.109756098
105,9,8,12,102,0.117647059
106,9,9,2,47,0.042553191
107,10,1,65,941,0.069075452
108,10,2,153,1582,0.096713021
109,10,3,192,1992,0.096385542
110,10,4,154,1624,0.094827586
111,10,5,92,794,0.115869018
112,10,6,28,429,0.065268065
113,10,7,15,177,0.084745763
114,10,8,9,56,0.160714286
115,10,9,1,8,0.125
116,11,1,66,719,0.091794159
117,11,2,90,1192,0.075503356
118,11,3,118,1385,0.085198556
119,11,4,115,1153,0.099739809
120,11,5,55,547,0.100548446
121,11,6,15,223,0.067264574
122,11,7,9,104,0.086538462
123,11,8,3,23,0.130434783
124,11,9,1,1,1
125,12,1,24,332,0.072289157
126,12,2,50,563,0.088809947
127,12,3,81,878,0.092255125
128,12,4,71,775,0.091612903
129,12,5,48,475,0.101052632
130,12,6,17,180,0.094444444
131,12,7,4,36,0.111111111
132,12,8,1,5,0.2
133,12,9,0,2,0
134,13,1,10,133,0.07518797
135,13,2,19,258,0.073643411
136,13,3,41,464,0.088362069
137,13,4,41,430,0.095348837
138,13,5,28,251,0.111553785
139,13,6,11,82,0.134146341
140,13,7,1,17,0.058823529
141,13,8,0,6,0
142,14,1,6,60,0.1
143,14,2,19,208,0.091346154
144,14,3,24,275,0.087272727
145,14,4,27,283,0.09540636
146,14,5,16,176,0.090909091
147,14,6,7,50,0.14
148,14,7,1,15,0.066666667
149,14,8,1,3,0.333333333
150,15,1,7,54,0.12962963
151,15,2,7,57,0.122807018
152,15,3,12,166,0.072289157
153,15,4,15,136,0.110294118
154,15,5,8,96,0.083333333
155,15,6,6,32,0.1875
156,15,7,2,14,0.142857143
157,15,8,0,5,0
158,16,1,4,38,0.105263158
159,16,2,2,52,0.038461538
160,16,3,6,70,0.085714286
161,16,4,5,75,0.066666667
162,16,5,5,49,0.102040816
163,16,6,3,27,0.111111111
164,16,7,3,14,0.214285714
165,17,1,0,7,0
166,17,2,3,25,0.12
167,17,3,1,71,0.014084507
168,17,4,5,67,0.074626866
169,17,5,10,47,0.212765957
170,17,6,0,17,0
171,17,7,0,5,0
172,17,8,1,3,0.333333333
173,18,1,0,3,0
174,18,2,2,21,0.095238095
175,18,3,3,27,0.111111111
176,18,4,1,12,0.083333333
177,18,5,3,40,0.075
178,18,6,0,19,0
179,18,7,2,7,0.285714286
180,18,8,0,5,0
181,19,1,0,2,0
182,19,2,2,14,0.142857143
183,19,3,2,12,0.166666667
184,19,4,1,8,0.125
185,19,5,1,4,0.25
186,19,6,1,4,0.25
187,19,7,0,1,0
188,19,8,1,1,1
189,20,3,2,10,0.2
190,20,4,0,10,0
191,20,5,0,1,0
192,20,6,1,10,0.1
193,20,7,0,3,0
194,20,8,0,4,0
195,21,6,1,1,1
196,22,3,1,6,0.166666667
197,22,4,2,4,0.5
198,22,5,1,5,0.2
199,22,6,0,4,0
